id,provider_id,day_of_week,start_time,end_time,break_start,break_end,slot_duration,is_enabled,created_at,updated_at
"67","832","0","06:00:00","02:30:00","13:00:00","15:00:00","30","0","2026-01-09 18:32:11","2026-01-19 08:32:22"
"68","832","1","10:00:00","22:00:00","13:00:00","14:00:00","30","1","2026-01-09 18:32:12","2026-01-19 08:28:38"
"69","832","2","09:00:00","18:00:00",NULL,NULL,"30","1","2026-01-09 18:32:12",NULL
"70","832","3","09:00:00","18:00:00",NULL,NULL,"30","1","2026-01-09 18:32:12",NULL
"71","832","4","09:00:00","18:00:00",NULL,NULL,"30","1","2026-01-09 18:32:12",NULL
"72","832","5","09:00:00","18:00:00",NULL,NULL,"30","1","2026-01-09 18:32:12",NULL
"73","833","0","09:00:00","18:00:00","12:00:00","13:00:00","30","1","2026-01-09 21:30:01",NULL
"74","833","1","09:00:00","18:00:00","12:00:00","13:00:00","30","1","2026-01-09 21:30:01",NULL
"75","833","2","09:00:00","18:00:00","12:00:00","13:00:00","30","1","2026-01-09 21:30:01",NULL
"76","833","3","09:00:00","18:00:00","12:00:00","13:00:00","30","1","2026-01-09 21:30:02",NULL
"77","833","4","09:00:00","18:00:00","12:00:00","13:00:00","30","1","2026-01-09 21:30:02",NULL
"78","833","5","09:00:00","18:00:00","12:00:00","13:00:00","30","1","2026-01-09 21:30:02",NULL
"79","833","6","12:00:00","18:00:00","12:00:00","13:00:00","30","1","2026-01-09 21:30:02",NULL
"80","849","0","09:00:00","20:00:00","00:00:00","00:00:00","30","1","2026-01-11 10:17:47",NULL
"81","849","1","11:00:00","18:00:00","12:00:00","13:00:00","30","1","2026-01-11 10:17:47",NULL
"82","849","2","09:00:00","18:00:00","12:00:00","13:00:00","30","1","2026-01-11 10:17:47",NULL
"83","849","3","09:00:00","18:00:00","12:00:00","13:00:00","30","1","2026-01-11 10:17:47",NULL
"84","849","4","09:00:00","18:00:00","12:00:00","13:00:00","30","1","2026-01-11 10:17:47",NULL
"85","849","5","09:00:00","18:00:00","12:00:00","13:00:00","30","1","2026-01-11 10:17:47",NULL
"86","873","3","09:00:00","18:00:00","12:00:00","13:00:00","30","1","2026-01-11 22:53:52",NULL
"87","873","4","09:00:00","18:00:00","12:00:00","13:00:00","30","1","2026-01-11 22:53:52",NULL
"88","873","5","09:00:00","18:00:00","12:00:00","13:00:00","30","1","2026-01-11 22:53:52",NULL
"89","873","1","09:00:00","18:00:00","12:00:00","13:00:00","30","1","2026-01-11 22:53:52",NULL
"90","873","2","09:00:00","18:00:00","12:00:00","13:00:00","30","1","2026-01-11 22:53:53",NULL
"91","873","0","09:00:00","18:00:00","12:00:00","13:00:00","30","1","2026-01-11 22:53:53",NULL
"92","873","6","00:00:00","23:05:00","12:00:00","13:00:00","30","1","2026-01-11 22:53:53",NULL
"99","832","6","08:00:00","18:00:00","13:00:00","13:50:00","30","0","2026-01-18 08:43:16","2026-01-19 08:32:22"
"240","878","1","09:00:00","18:00:00","12:00:00","13:00:00","45","1","2026-01-26 16:39:55","2026-01-26 16:39:55"
"241","878","2","09:00:00","18:00:00","12:00:00","13:00:00","45","1","2026-01-26 16:39:55","2026-01-26 16:39:55"
"242","878","3","09:00:00","18:00:00","12:00:00","13:00:00","45","1","2026-01-26 16:39:56","2026-01-26 16:39:56"
"243","878","4","09:00:00","18:00:00","12:00:00","13:00:00","45","1","2026-01-26 16:39:56","2026-01-26 16:39:56"
"244","878","5","09:00:00","18:00:00","12:00:00","13:00:00","45","1","2026-01-26 16:39:56","2026-01-26 16:39:56"
"245","878","6","09:00:00","18:00:00","12:00:00","13:00:00","45","1","2026-01-26 16:39:56","2026-01-26 16:39:56"
